País,Kim Kardashian: (1/1/07 - 21/3/19)
Afganistán,
Albania,
Alemania,12
Andorra,
Angola,
Anguila,
Antártida,
Antigua y Barbuda,
Arabia Saudí,21
Argelia,24
Argentina,10
Armenia,97
Aruba,
Australia,41
Austria,14
Azerbaiyán,
Bélgica,21
Bahamas,
Bangladés,16
Baréin,
Barbados,
Belice,
Benín,
Bermudas,
Bielorrusia,
Bolivia,22
Bosnia y Herzegovina,34
Botsuana,
Brasil,10
Brunéi,
Bulgaria,10
Burkina Faso,
Burundi,
Bután,
Côte d’Ivoire,
Cabo Verde,
Camboya,
Camerún,
Canadá,44
Caribe neerlandés,
Catar,
Chad,
Chequia,8
Chile,18
China,
Chipre,
Ciudad del Vaticano,
Colombia,24
Comoras,
Congo,
Corea del Norte,
Corea del Sur,6
Costa Rica,40
Croacia,32
Cuba,
Curazao,
Dinamarca,24
Dominica,
Ecuador,22
Egipto,24
El Salvador,41
Emiratos Árabes Unidos,30
Eritrea,
Eslovaquia,
Eslovenia,26
España,13
Estados Unidos,48
Estonia,
Esuatini,
Etiopía,
Filipinas,20
Finlandia,16
Fiyi,
Francia,22
Gabón,
Gambia,
Georgia,
Ghana,
Gibraltar,
Granada,
Grecia,18
Groenlandia,
Guadalupe,
Guam,
Guatemala,30
Guayana Francesa,
Guernesey,
Guinea Ecuatorial,
Guinea,
Guinea-Bisáu,
Guyana,
Haití,
Honduras,
Hong Kong,
Hungría,12
India,12
Indonesia,12
Irán,18
Irak,24
Irlanda,46
Isla Bouvet,
Isla de Man,
Isla de Navidad,
Isla Norfolk,
Islandia,
Islas Aland,
Islas Caimán,
Islas Cocos,
Islas Cook,
Islas Feroe,
Islas Georgia del Sur y Sandwich del Sur,
Islas Heard y McDonald,
Islas Malvinas (Islas Falkland),
Islas Marianas del Norte,
Islas Marshall,
Islas menores alejadas de EE. UU.,
Islas Pitcairn,
Islas Salomón,
Islas Turcas y Caicos,
Islas Vírgenes Británicas,
Islas Vírgenes de EE. UU.,
Israel,21
Italia,9
Jamaica,
Japón,1
Jersey,
Jordania,28
Kazajistán,18
Kenia,52
Kirguistán,
Kiribati,
Kosovo,
Kuwait,32
Líbano,45
Laos,
Lesoto,
Letonia,
Liberia,
Libia,
Liechtenstein,
Lituania,
Luxemburgo,
México,30
Mónaco,
Macao,
Macedonia del Norte,
Madagascar,
Malasia,16
Malaui,
Maldivas,
Mali,
Malta,
Marruecos,22
Martinica,
Mauricio,
Mauritania,
Mayotte,
Micronesia,
Moldavia,
Mongolia,
Montenegro,
Montserrat,
Mozambique,
Myanmar (Birmania),
Níger,
Namibia,
Nauru,
Nepal,
Nicaragua,
Nigeria,41
Niue,
Noruega,37
Nueva Caledonia,
Nueva Zelanda,46
Omán,
Países Bajos,22
Pakistán,13
Palaos,
Palestina,
Panamá,44
Papúa Nueva Guinea,
Paraguay,
Perú,16
Polinesia Francesa,
Polonia,16
Portugal,21
Puerto Rico,45
Reino Unido,37
República Centroafricana,
República Democrática del Congo,
República Dominicana,29
Reunión,
Ruanda,
Rumanía,13
Rusia,10
Sáhara Occidental,
Samoa Americana,
Samoa,
San Bartolomé,
San Cristóbal y Nieves,
San Marino,
San Martín,
San Pedro y Miquelón,
San Vicente y las Granadinas,
Santa Elena,
Santa Lucía,
Santo Tomé y Príncipe,
Senegal,
Serbia,30
Seychelles,
Sierra Leona,
Singapur,21
Sint Maarten,
Siria,
Somalia,
Sri Lanka,
Sudáfrica,65
Sudán del Sur,
Sudán,
Suecia,25
Suiza,20
Surinam,
Svalbard y Jan Mayen,
Tailandia,4
Taiwán,
Tanzania,
Túnez,22
Tayikistán,
Territorio Británico del Océano Índico,
Territorios Australes Franceses,
Timor-Leste,
Togo,
Tokelau,
Tonga,
Trinidad y Tobago,100
Turkmenistán,
Turquía,20
Tuvalu,
Ucrania,9
Uganda,
Uruguay,
Uzbekistán,
Vanuatu,
Venezuela,25
Vietnam,4
Wallis y Futuna,
Yemen,
Yibuti,
Zambia,
Zimbabue,
