Kylie Jenner: (1/1/07 - 21/3/19);Kim Kardashian: (1/1/07 - 21/3/19);
0;0;
0;0;
14;12;
0;0;
0;0;
0;0;
0;0;
0;0;
20;21;
16;24;
13;10;
0;97;
0;0;
57;41;
18;14;
0;0;
0;0;
0;16;
0;0;
0;0;
22;21;
0;0;
0;0;
0;0;
0;0;
0;22;
0;34;
0;0;
10;10;
0;0;
13;10;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
50;44;
0;0;
0;0;
0;0;
10;8;
22;18;
0;0;
0;0;
0;0;
29;24;
0;0;
0;0;
0;0;
0;6;
42;40;
0;0;
32;32;
0;0;
0;0;
33;24;
0;0;
24;22;
6;24;
0;41;
36;30;
0;0;
0;0;
28;26;
14;13;
61;48;
0;0;
0;0;
0;0;
42;20;
20;16;
0;0;
24;22;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
22;18;
0;0;
0;0;
0;0;
28;30;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
13;12;
9;12;
14;12;
0;24;
9;18;
56;46;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
18;21;
9;9;
0;0;
1;1;
0;0;
0;28;
18;18;
34;52;
0;0;
0;0;
0;0;
0;32;
0;0;
0;0;
0;0;
50;45;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
18;16;
0;0;
0;0;
0;0;
0;0;
16;22;
0;0;
0;0;
0;0;
0;0;
29;30;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
33;41;
0;0;
44;37;
0;0;
58;46;
0;0;
24;22;
13;13;
0;0;
0;0;
46;44;
0;0;
0;0;
16;16;
0;0;
18;16;
22;21;
48;45;
52;37;
0;0;
0;0;
32;29;
0;0;
0;0;
14;13;
10;10;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
21;30;
0;0;
0;0;
28;21;
0;0;
0;0;
0;0;
0;0;
65;65;
0;0;
0;0;
30;25;
24;20;
0;0;
0;0;
5;4;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
100;100;
0;22;
0;0;
9;20;
0;0;
9;9;
0;0;
0;0;
0;0;
0;0;
25;25;
2;4;
0;0;
0;0;
0;0;
0;0;
0;0;
